title,subtitle,authors,categories,published_year,average_rating,num_pages,ratings_count
The Outsider,,Richard Wright,Fiction,1953.0,4.16,672.0,1736.0
1421,The Year China Discovered America,Gavin Menzies,History,2004.0,3.59,650.0,11289.0
The Andromeda Strain,,Michael Crichton,Fiction,2003.0,3.89,327.0,192637.0
Congo,,Michael Crichton,Fiction,2003.0,3.58,442.0,140223.0
Johnny and the Dead,,Terry Pratchett,Juvenile Fiction,2006.0,3.78,213.0,7733.0
Amelia Bedelia 40th Anniversary Collection,,Peggy Parish,Juvenile Fiction,2003.0,4.41,96.0,256.0
The Girls of Lighthouse Lane #3,Lizabeth's Story,Thomas Kinkade;Erika Tamar,Juvenile Fiction,2005.0,3.96,192.0,24.0
The Bradbury Chronicles,The Life of Ray Bradbury,Sam Weller,Biography & Autobiography,2006.0,4.22,384.0,352.0
Three Rotten Eggs,,Gregory Maguire,Juvenile Fiction,2005.0,3.74,240.0,76.0
The Wicked Day,Book Four of the Arthurian Saga,Mary Stewart,Fiction,2003.0,4.09,417.0,9875.0
The Game,Penetrating the Secret Society of Pickup Artists,Neil Strauss,Biography & Autobiography,2005.0,3.74,464.0,19305.0
"The Lion, the Witch and the Wardrobe (picture book edition)",,C. S. Lewis,Juvenile Fiction,2004.0,4.19,48.0,5012.0
Gold,The Final Science Fiction Collection,Isaac Asimov,Fiction,2003.0,3.99,416.0,2393.0
The Kindness of Strangers,,Katrina Kittle,Fiction,2007.0,4.01,400.0,11432.0
Built to Last,Successful Habits of Visionary Companies,Jim Collins;Jerry I. Porras,Business & Economics,2004.0,3.98,368.0,49529.0
Fluke,"Or, I Know Why the Winged Whale Sings",Christopher Moore,Fiction,2004.0,3.75,321.0,34773.0
Lord of Light,,Roger Zelazny,Fiction,2004.0,4.1,296.0,22530.0
The Perennial Philosophy,,Aldous Huxley,Philosophy,2004.0,4.23,336.0,2959.0
A Crack in the Edge of the World,America and the Great California Earthquake of 1906,Simon Winchester,History,2006.0,3.78,419.0,5242.0
Dead Witch Walking,,Kim Harrison,Fiction,2004.0,4.04,416.0,97105.0
"The Good, the Bad, and the Undead",,Kim Harrison,Fiction,2005.0,4.26,453.0,53112.0
"Men Are from Mars, Women Are from Venus",The Classic Guide to Understanding the Opposite Sex,John Gray,Family & Relationships,2004.0,3.54,368.0,126108.0
Sabriel (adult),,Garth Nix,Fiction,2004.0,4.17,311.0,1296.0
Slouching Toward Nirvana,New Poems,Charles Bukowski,Poetry,2006.0,3.99,288.0,1901.0
